"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","FQ1","WB1","WB2[SQ001]","WB2[SQ002]","WB2[SQ003]","WB2[SQ004]","WB2[SQ005]","WB2[SQ006]","WB3[SQ001]","WB3[SQ002]","WB4[SQ001]","WB4[SQ002]","WB4[SQ003]","WB4[SQ004]","VD000a","VD000","VD001","VD002003","VD004003","VD005013011","VD006","VD008","VD007","VD009","VD010011","VD012013011","VD018","VD014","VD019","VD017021","VD020021","VD015","VD016","VD022","VD099[SQ001]","VD100a","VD100","VD121","VD154","VD101","VD122","VD155156","VD109156","VD159","VD123124125","VD115124125","VD130","VD131","VD102","VD111","VD110","VD114144102","VD144102","VD112","VD113125","VD116120","VD135145","VD134145","VD150a151152","VD150b126","VD126","VD141142152","VD151152","VD127","VD128","VD140142152","VD129","VD118120","VD103104","VD107108104","VD138167","VD136","VD166136","VD165147","VD143147","VD146133","VD132133","VD149106","VD148","VD105153106","VD117153106","VD199[SQ001]","VD200a","VD200","VD201","VD216205206","VD202","VD203","VD204205206","VD220221222","VD207","VD213","VD214221222","VD219222","VD215206","VD223210","VD208209210","VD224225212209210","VD226","VD227212209210","VD218225212209210","VD217","VD211","VD299[SQ001]","SP1","SP2","SP3","SP4[SQ002]","SP4[SQ006]","SP4[SQ001]","SP4[SQ003]","SP4[SQ004]","SP4[SQ005]","SP4[SQ007]","PD1","PD2","PD3[SQ001]","PD3[SQ002]","PD3[SQ003]","PD3[SQ004]","PD3[SQ005]","PD4[SQ001]","PD4[SQ002]","PD5","D3"
"24","2021-02-04 08:28:04","104","de","771357162","2021-02-04 08:08:00","2021-02-04 08:28:04","","3","A1","A1","A1","A4","A4","A4","A2","A3","A5","A5","A4","A5","Y","A1","A2","A1","","A1","","","","","","","","","","","A2","","","","A4","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A4","Y","A2","A2","","A3","","","","A2","","","","","","A2","","","","","","","A2","A3","A3","A3","A3","A3","A3","A2","A2","A4","A4","A1","21","","","Y","","","6","19","A19","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de.     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612423684  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"26","2021-02-04 11:48:14","104","de","760874035","2021-02-04 11:31:22","2021-02-04 11:48:14","","3","A1","A1","A3","A3","A2","A3","A4","A1","A4","A3","A3","A4","N","A2","","","A1","A1","","","","","","","","","","","A1","","","","A2","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A2","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A2","A3","A3","A2","A1","A1","A1","A1","A1","A2","A1","A1","21","","","Y","Y","","6","3","A29","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de.     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612435694  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"27","2021-02-04 13:09:17","104","de","1593245038","2021-02-04 12:56:25","2021-02-04 13:09:17","","4","A3","A3","A3","A4","A4","A2","A3","A3","A4","A3","A4","A2","Y","A1","A1","","","","A1","","A2","","","A1","","","","","A2","","","","A3","Y","A2","","","A2","","","","","","","A1","","","A2","","","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A2","Y","A1","","","","","","","","","","","","","","","A1","","A2","","","A2","A3","A2","A2","A1","A1","A1","A1","A2","A2","A2","A2","21","","","","Y","","3","3","","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de.     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612440557  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"28","2021-02-04 13:17:32","104","de","492922760","2021-02-04 13:09:16","2021-02-04 13:17:32","","3","A1","A2","A3","A4","A4","A5","A1","A2","A4","A4","A4","A4","Y","A1","A2","A1","","A1","","","","","","","","","","","A2","","","","A4","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A4","Y","A2","A2","","A3","","","","A2","","","","","","A2","","","","","","","A5","A3","A3","A3","A4","A3","A3","A3","A2","A4","A4","A1","21","","","Y","","","5","19","","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de oder l_kirs07@uni-muenster.de.     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612441052  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"29","2021-02-04 14:15:00","104","en","945872951","2021-02-04 13:43:33","2021-02-04 14:15:00","","7","A1","A1","A3","A3","A4","A1","A2","A2","A5","A5","A5","A5","Y","A2","","","A1","A1","","","","","","","","","","","A2","","","","A1","Y","A1","A1","A3","","","A1","","","A2","","","","","","","","","","","","","","","","A2","","","A2","","","","A2","","A2","","","","","","","","","","","","A2","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A1","A3","A3","A3","A3","A3","A5","A4","A1","A3","A3","A1","34","","Y","Y","","","","4.5","A23","Thank you for participating in the questionnaire. If you want to be rewarded please email this code with your bank details to gabriele.filomena@uni-muenster.de or l_kirs07@uni-muenster.de.  Do not forget to sumbit your questionnaire!  1612444500     The code is not associated with your responses; it is a just a proof of completion of the questionnaire."
"34","2021-02-04 21:28:22","104","de","692613927","2021-02-04 20:29:35","2021-02-04 21:28:22","","1","A1","A1","A3","A2","A2","A3","A3","A2","A4","A4","A5","A5","N","A2","","","A2","","","","","A1","A1","","","","","","A2","","","","A2","Y","A1","A1","A3","","","A2","","","","","","","","","A2","","","A2","","A2","","","","","","","","","","","","","","A2","","","","","","","","","","","","A1","Y","A2","A2","","A3","","","","A1","A1","A1","","A2","","","","","","","","","A1","A3","A2","A2","A1","A1","A3","A1","A4","A1","A1","A2","21","","","","Y","Y","0","0","","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612470502  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"37","2021-02-05 08:51:08","104","de","1984314368","2021-02-05 08:41:34","2021-02-05 08:51:08","","1","A1","A1","A4","A4","A3","A4","A2","A2","A4","A4","A4","A4","Y","A2","","","A1","A1","","","","","","","","","","","A2","","","","A5","Y","A2","","","A2","","","","","","","A1","","","A2","","","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A4","Y","A2","A2","","A3","","","","A2","","","","","","A1","","","","","","","A4","A3","A2","A3","A4","A2","A3","A3","A4","A4","A4","A1","21","","","Y","","Y","","21","A4","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612511468  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"38","2021-02-05 10:29:41","104","de","489417111","2021-02-05 10:00:32","2021-02-05 10:29:41","","7","A1","A1","A2","A2","A4","A2","A2","A2","A5","A4","A4","A4","N","A1","A1","","","","A1","","A2","","","A2","","A2","","","","","","","A1","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A1","","","","","","","","","","","","","","","","","A1","","","","A1","A1","","","","","","","","A1","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A1","A3","A3","A2","A3","A3","A2","A1","A2","A3","A2","A1","21","","","Y","","","","21","A19","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612517381  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"39","2021-02-05 13:36:38","104","en","983127087","2021-02-05 12:26:29","2021-02-05 13:36:38","","5","A1","A2","A4","A4","A3","A2","A2","A2","A4","A3","A4","A4","Y","A1","A1","","","","A1","","A2","","","A2","","A2","","","","","","","A4","Y","A2","","","A1","A1","","","","A2","","","","","","","","","","","","","","","","A2","","","A1","A2","","A1","","","","A2","A2","","","","","","","","","","A3","Y","A2","A2","","A1","A1","A2","","","","","","","","","","","","","","","A5","A3","A1","A2","A4","A4","A2","A5","A1","A3","A4","A1","30","","","Y","Y","","","3","A21","Thank you for participating in the questionnaire. If you want to be rewarded please email this code with your bank details to gabriele.filomena@uni-muenster.de  Do not forget to sumbit your questionnaire!  1612528598     The code is not associated with your responses; it is a just a proof of completion of the questionnaire."
"41","2021-02-05 16:11:04","104","de","1841423564","2021-02-05 15:27:42","2021-02-05 16:11:04","","2-3","A2","A2","A2","A3","A5","A3","A2","A2","A5","A4","A4","A4","N","A1","A1","","","","A1","","A2","","","A1","","","","","A2","","","","A5","Y","A1","A1","A2","","","","","","","A2","","","","","","","","","","","","","","","A2","","","A1","A2","","A1","","","","A2","A1","","A1","","","","","","","","A2","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A1","A1","A3","A2","A4","A3","A4","A3","A1","A4","A2","A2","21","","","","Y","","","2.5","","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612537864  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"42","2021-02-05 16:25:23","104","de","496627482","2021-02-05 15:46:26","2021-02-05 16:25:23","","4","A2","A3","A3","A4","A3","A2","A4","A4","A5","A5","A5","A4","Y","A2","","","A2","","","","","A1","A2","","","A1","A1","","","","","","A5","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A2","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A1","A3","A3","A3","A4","A4","A2","A1","A1","A2","A3","A1","24","","Y","Y","Y","","4","4","A13","Thank you for participating in the questionnaire. If you want to be rewarded please email this code with your bank details to gabriele.filomena@uni-muenster.de  Do not forget to sumbit your questionnaire!  1612538723     The code is not associated with your responses; it is a just a proof of completion of the questionnaire."
"43","2021-02-05 21:30:27","104","de","1922560498","2021-02-05 21:06:34","2021-02-05 21:30:27","","1","A4","A1","A3","A2","A1","A2","A3","A4","A3","A1","A4","A4","N","A1","A2","A2","","","","","","A1","A2","","","A2","","","","","","","A5","Y","A1","A1","A3","","","A2","","","","","","","","","A1","A1","","","","","","","","","","","","","","","","","A2","","","","","","","","","","","","","A6","Y","A2","A2","","A1","A2","","A2","","","","","","A2","","","","","","","","A7","A3","A3","A1","A3","A3","A2","A2","A1","A2","A2","A2","21","","Y","","","","","","","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612557027  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"44","2021-02-06 09:03:07","104","de","1490236839","2021-02-06 08:40:28","2021-02-06 09:03:07","","5","A5","A3","A3","A3","A2","A3","A1","A1","A5","A5","A5","A4","N","A1","A2","A1","","A1","","","","","","","","","","","A2","","","","A2","Y","A1","A1","A1","","","","","A2","","","","","","","","","","","","","A2","","","A2","","","","A1","A2","","A1","","","","A2","A1","","A1","","","","","","","","A5","Y","A2","A1","A1","","","","","","","","","","","","","","","","","","A1","A3","A3","A2","A4","A3","A4","A3","A3","A4","A2","A1","27","","Y","Y","Y","","","4","A19","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612598587  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"52","2021-02-06 22:23:57","104","de","1459004003","2021-02-06 22:10:29","2021-02-06 22:23:57","","5","A1","A4","A4","A4","A3","A3","A2","A3","A2","A2","A3","A1","N","A1","A2","A1","","A2","","","","","","","","A2","","","","","","","A2","Y","A1","A1","A2","","","","","","","A2","","","","","","","","","","","","","","","A1","A1","","","","","","","","","","","","","A1","","","","","","","A2","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A2","A3","A3","A3","A2","A2","A3","A2","A3","A2","A2","A2","21","","","Y","Y","","","1","A41","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612646637  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
"53","2021-02-07 13:51:52","104","en","299886904","2021-02-07 13:27:39","2021-02-07 13:51:52","","2","A2","A2","A4","A4","A4","A4","A3","A3","A2","A2","A3","A3","Y","A1","A1","","","","A1","","A2","","","A2","","A2","","","","","","","A3","Y","A2","","","A1","A2","","","","","","","","","","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A1","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A1","A1","A3","A3","A5","A5","A5","A5","A2","A5","A3","A1","33","","Y","Y","Y","","","33","A32","Thank you for participating in the questionnaire. If you want to be rewarded please email this code with your bank details to gabriele.filomena@uni-muenster.de  Do not forget to sumbit your questionnaire!  1612702312     The code is not associated with your responses; it is a just a proof of completion of the questionnaire."
"54","2021-02-09 09:58:02","104","en","1015681860","2021-02-09 09:42:01","2021-02-09 09:58:02","","4","A2","A2","A4","A4","A5","A3","A4","A3","A4","A4","A5","A4","Y","A1","A1","","","","A1","","A2","","","A1","","","","","A2","","","","A6","Y","A2","","","A2","","","","","","","A1","","","A2","","","A1","","","","","","","","","","","","","","","","A1","","","","A2","","","","","","","","","A5","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A6","A3","A2","A1","A2","A1","A1","A1","A2","A3","A1","A2","39","","Y","Y","","","10","2","A37","Thank you for participating in the questionnaire. If you want to be rewarded please email this code with your bank details to gabriele.filomena@uni-muenster.de  Do not forget to sumbit your questionnaire!  1612861082     The code is not associated with your responses; it is a just a proof of completion of the questionnaire."
"55","2021-02-09 19:46:38","104","de","475409067","2021-02-09 12:02:55","2021-02-09 19:46:38","","1","A1","A1","A3","A3","A3","A2","A2","A2","A3","A3","A4","A4","Y","A1","A1","","","","A1","","A2","","","A1","","","","","A1","","","","A7","Y","A2","","","A2","","","","","","","A1","","","A1","","","","A2","","A1","","","","","","","","","","","","","","","A2","A1","","A1","","","","","","","","A4","Y","A2","A1","A2","","","","","","","","","","","","","","","","","","A1","A3","A3","A2","A3","A2","A3","A2","A3","A3","A3","A2","41","","Y","Y","Y","","","23","A19","Vielen Dank für Ihre Teilnahme am Fragebogen. Wenn Sie ihre Aufwandsentschädigung erhalten möchten, senden Sie diesen Code mit Ihren Bankdaten per E-Mail an gabriele.filomena@uni-muenster.de     Vergessen Sie nicht, Ihren Fragebogen zu versenden!  1612896398  Der Code ist nicht mit Ihren Antworten verknüpft. Es dient nur als Beweis für das Ausfüllen des Fragebogens."
